id,step_name,ui_version,tag,el_id,classes,name_attr,input_type,placeholder,aria_label,data_testid,text_content,role_attr,href,xpath_abs,parent_tag,parent_id,depth,sibling_index,siblings_count,bounding_w,bounding_h,bounding_x,bounding_y,page_url,form_context,nearby_label,captured_at
23,filter_iphone_button,v1,button,,"[""btn"", ""rounded-pill"", ""px-4"", ""btn-outline-dark""]",,submit,,,btn-filter-iphone,IPHONE,,,"//div[@id=""root""]/div[1]/div[3]/button[2]",div,,5,1,5,106.0,38.0,496.0,266.0,http://localhost:5173/product,,,2026-05-26T17:16:24.554743
27,filter_ipad_button,v1,button,,"[""btn"", ""rounded-pill"", ""px-4"", ""btn-outline-dark""]",,submit,,,btn-filter-ipad,IPAD,,,"//div[@id=""root""]/div[1]/div[3]/button[3]",div,,5,2,5,83.0,38.0,610.0,266.0,http://localhost:5173/product,,,2026-05-26T17:16:40.614715
31,filter_macbook_button,v1,button,,"[""btn"", ""rounded-pill"", ""px-4"", ""btn-outline-dark""]",,submit,,,btn-filter-macbook,MACBOOK,,,"//div[@id=""root""]/div[1]/div[3]/button[4]",div,,5,3,5,126.0,38.0,701.0,266.0,http://localhost:5173/product,,,2026-05-26T17:16:56.501455
35,filter_airpods_button,v1,button,,"[""btn"", ""rounded-pill"", ""px-4"", ""btn-outline-dark""]",,submit,,,btn-filter-airpods,AIRPODS,,,"//div[@id=""root""]/div[1]/div[3]/button[5]",div,,5,4,5,115.0,38.0,836.0,266.0,http://localhost:5173/product,,,2026-05-26T17:17:12.607480
39,filter_Tất cả_button,v1,button,,"[""btn"", ""rounded-pill"", ""px-4"", ""btn-dark""]",,submit,,,btn-filter-all,TẤT CẢ,,,"//div[@id=""root""]/div[1]/div[3]/button[1]",div,,5,0,5,101.0,38.0,386.0,266.0,http://localhost:5173/product,,,2026-05-26T17:17:28.637412
59,search_input,v1,input,,"[""form-control"", ""rounded-pill"", ""px-4"", ""shadow-sm""]",,text,Tìm kiếm sản phẩm (Viết đúng chính tả...),,search-input,,,,"//div[@id=""root""]/div[1]/div[2]/div[1]/input[1]",div,,6,0,1,546.0,38.0,395.0,204.0,http://localhost:5173/product,,,2026-05-26T17:18:46.365315
130,contact_name_field,v1,input,contact-name,"[""form-control""]",,text,Nhập họ và tên của bạn,,contact-name,,,,"//input[@id=""contact-name""]",div,,8,1,2,520.0,38.0,416.0,223.0,http://localhost:5173/contact,form,,2026-05-26T17:49:38.020074
131,contact_phone_field,v1,input,contact-phone,"[""form-control""]",,text,Nhập số điện thoại (10 chữ số),,contact-phone,,,,"//input[@id=""contact-phone""]",div,,8,1,2,520.0,38.0,416.0,309.0,http://localhost:5173/contact,form,,2026-05-26T17:49:38.264620
132,contact_mess_field,v1,input,contact-mess,"[""form-control""]",,text,Nhập lời nhắn của bạn (tối đa 500 ký tự),,contact-mess,,,,"//input[@id=""contact-mess""]",div,,8,1,2,520.0,38.0,416.0,394.0,http://localhost:5173/contact,form,,2026-05-26T17:49:38.561284
133,contact_submit_button,v1,button,,"[""btn"", ""btn-primary"", ""w-17"", ""rounded-pill"", ""fw-bold""]",,submit,,,btn-contact-submit,Gửi thông tin,,,"//div[@id=""root""]/div[1]/div[1]/div[1]/form[1]/div[4]/button[1]",div,,8,0,1,544.0,38.0,404.0,448.0,http://localhost:5173/contact,form,,2026-05-26T17:49:39.325611
