id,healing_event_id,step_name,ui_version,attr_score,sem_score,struct_score,visual_score,ctx_score,total_score,cand_tag,cand_testid,cand_text,is_correct,recorded_at
1,1,email_field,v2,0.7467,1,0.8479,0.7524,0.365,0.715966,input,,,1,5/29/2026 14:02
2,1,email_field,v2,0.3633,1,0.7832,0.6526,0.365,0.710606,input,,,0,5/29/2026 14:02
3,2,password_field,v2,0.93,1,0.88,0.7396,0.365,0.673421,input,,,1,5/29/2026 14:02
4,2,password_field,v2,0.5467,0.95,0.8086,0.7356,0.365,0.859178,input,,,0,5/29/2026 14:02
5,3,login_button,v2,0.93,0.6359,1,0.7298,0.365,0.696426,button,,Xác nh?n & Ðang nh?p,1,5/29/2026 14:02
6,4,search_input,v2,0.55,1,0.7286,0.7545,0.615,0.693778,input,,,1,5/29/2026 14:02
7,5,filter_iphone_button,v2,0.93,0.8733,0.88,0.7441,0.365,0.687638,button,,Apple iPhone,1,5/29/2026 14:02
8,5,filter_iphone_button,v2,0.93,0.715,0.8626,0.7086,0.365,0.668826,button,,Apple iPad,0,5/29/2026 14:02
9,5,filter_iphone_button,v2,0.93,0.7954,0.8376,0.575,0.365,0.654159,button,,AirPods,0,5/29/2026 14:02
10,5,filter_iphone_button,v2,0.842,0.6562,0.8626,0.6681,0.615,0.804093,button,,T?t c? danh m?c,0,5/29/2026 14:02
11,5,filter_iphone_button,v2,0.93,0.6785,0.8501,0.642,0.365,0.726959,button,,MacBook,0,5/29/2026 14:02
12,5,filter_iphone_button,v2,0.7729,0.6861,0.679,0.5411,0.615,0.717127,button,,G? kh?i danh sách,0,5/29/2026 14:02
13,6,filter_ipad_button,v2,0.93,0.8371,0.88,0.7454,0.365,0.799485,button,,Apple iPad,1,5/29/2026 14:03
14,6,filter_ipad_button,v2,0.93,0.8273,0.8501,0.639,0.365,0.725195,button,,AirPods,0,5/29/2026 14:03
15,6,filter_ipad_button,v2,0.93,0.715,0.8626,0.6947,0.365,0.723975,button,,Apple iPhone,0,5/29/2026 14:03
16,6,filter_ipad_button,v2,0.93,0.6891,0.8626,0.7008,0.365,0.79314,button,,MacBook,0,5/29/2026 14:03
17,6,filter_ipad_button,v2,0.842,0.66,0.8501,0.6012,0.615,0.725463,button,,T?t c? danh m?c,0,5/29/2026 14:03
18,6,filter_ipad_button,v2,0.7729,0.6924,0.6665,0.538,0.615,0.715363,button,,G? kh?i danh sách,0,5/29/2026 14:03
19,7,filter_macbook_button,v2,0.93,1,0.88,0.7414,0.365,0.751562,button,,MacBook,1,5/29/2026 14:03
20,7,filter_macbook_button,v2,0.93,0.7286,0.8626,0.6873,0.365,0.652104,button,,AirPods,0,5/29/2026 14:03
21,7,filter_macbook_button,v2,0.93,0.6647,0.8626,0.7273,0.365,0.866809,button,,Apple iPad,0,5/29/2026 14:03
22,7,filter_macbook_button,v2,0.93,0.7,0.8501,0.6514,0.365,0.772692,button,,Apple iPhone,0,5/29/2026 14:03
23,7,filter_macbook_button,v2,0.842,0.6891,0.8376,0.5549,0.615,0.764048,button,,T?t c? danh m?c,0,5/29/2026 14:03
24,7,filter_macbook_button,v2,0.7729,0.6833,0.654,0.5439,0.615,0.865819,button,,G? kh?i danh sách,0,5/29/2026 14:03
25,8,filter_airpods_button,v2,0.93,1,0.88,0.7459,0.365,0.770928,button,,AirPods,1,5/29/2026 14:04
26,8,filter_airpods_button,v2,0.93,0.7988,0.8501,0.658,0.365,0.766792,button,,Apple iPad,0,5/29/2026 14:04
